,tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute
11,,"Paradise, CA",1059590134147006464,This Week in Music: WEDNESDAY: I’m hosting the sacsongwritercircle with iammarcorobledo at thefigtreecoffee at 7pm THURSDAY: Music Video Release Party for The Wall &amp; Deeper Still At… https://www.instagram.com/p/Bp0TqTuggKL/?utm_source=ig_twitter_share&amp;igshid=1c4x1v5lra7r0,2018-11-05 23:35:48+00:00,,HeatherEvans,,0,0,https://twitter.com/HeatherEvans/status/1059590134147006464,5,23,35
12,,"Paradise, CA",1059589629526110209,"• caption this for me • : lupeorozco_88 : @smalz_tdc #sacramento #soundcloud #rappers #doing #rapper #shiit #nshiit @Sacramento, California https://www.instagram.com/p/Bp0TbkcnY9R/?utm_source=ig_twitter_share&amp;igshid=14e29sxlvrlii",2018-11-05 23:33:48+00:00,#sacramento #soundcloud #rappers #doing #rapper #shiit #nshiit,jay_siio,,0,0,https://twitter.com/jay_siio/status/1059589629526110209,5,23,33
13,,"Paradise, CA",1059589559099383808,temperature up 67°F -> 73°F humidity down 41% -> 17% wind 3mph -> 14mph,2018-11-05 23:33:31+00:00,,_ReddingCA,,0,0,https://twitter.com/_ReddingCA/status/1059589559099383808,5,23,33
14,,"Paradise, CA",1059589095440011264,"New painting hung in master bedroom in Truckee, thank you bridgette_meinhold!!!! #bolamgallery #truckee #tahoedonner @Truckee, California https://www.instagram.com/p/Bp0TCgGBBsB/?utm_source=ig_twitter_share&amp;igshid=iyb98xcetzig",2018-11-05 23:31:41+00:00,#bolamgallery #truckee #tahoedonner,joannclelia,,0,1,https://twitter.com/joannclelia/status/1059589095440011264,5,23,31
15,,"Paradise, CA",1059587784430813184,That’s my spooky bench @BigSis LilSis https://www.instagram.com/p/Bp0Sl8Kl_si/?utm_source=ig_twitter_share&amp;igshid=13521oigeimz8,2018-11-05 23:26:28+00:00,,sam_porque,,0,0,https://twitter.com/sam_porque/status/1059587784430813184,5,23,26
16,,"Paradise, CA",1059587765380308992,"""Brian Littrell- The Heart of The Matter"". @Carson City, Nevada https://www.instagram.com/p/Bp0SibLHTdM/?utm_source=ig_twitter_share&amp;igshid=15hgsbgnaffaz",2018-11-05 23:26:24+00:00,,Megs_WoodardA_J,,0,0,https://twitter.com/Megs_WoodardA_J/status/1059587765380308992,5,23,26
17,,"Paradise, CA",1059587645783724032,Have you ever been so relaxed you didn’t have a care in the world? #Sacramento #California #throwback #RoseGarden #Vacation #NorCal #DeathGrips #Roses #Garden #Nature #Relax #Peaceful… https://www.instagram.com/p/Bp0ShrxgOB6/?utm_source=ig_twitter_share&amp;igshid=1j5umo9o9w253,2018-11-05 23:25:55+00:00,#Sacramento #California #throwback #RoseGarden #Vacation #NorCal #DeathGrips #Roses #Garden #Nature #Relax #Peaceful,jacqueling35,,0,0,https://twitter.com/jacqueling35/status/1059587645783724032,5,23,25
18,,"Paradise, CA",1059587529786228737,"""Brian Littrell- The Heart of The Matter"". @Carson City, Nevada https://www.instagram.com/p/Bp0SbMQHDVo/?utm_source=ig_twitter_share&amp;igshid=1aoldcp3egwm1",2018-11-05 23:25:27+00:00,,Megs_WoodardA_J,,0,0,https://twitter.com/Megs_WoodardA_J/status/1059587529786228737,5,23,25
19,,"Paradise, CA",1059587444230811651,"She pauses. Start over. Like seriously. #doodle #doodlebook #doodlesofinstagram #sketch #sketchbook #doodlesketch #bookart #drawingontext #startover #seriously @Sacramento, California https://www.instagram.com/p/Bp0Sb6VA5Q5/?utm_source=ig_twitter_share&amp;igshid=28q0tljsale1",2018-11-05 23:25:07+00:00,#doodle #doodlebook #doodlesofinstagram #sketch #sketchbook #doodlesketch #bookart #drawingontext #startover #seriously,bethshelba,,0,0,https://twitter.com/bethshelba/status/1059587444230811651,5,23,25
20,,"Paradise, CA",1059581337185726465,November 14th 6pm-9pm: Dream Warriors with Native American Hip Hop and Spoken Word #Native #HipHop #ChicoState,2018-11-05 23:00:51+00:00,#Native #HipHop #ChicoState,ChicoStateCCLC,,3,0,https://twitter.com/ChicoStateCCLC/status/1059581337185726465,5,23,0
