City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link
"Paradise, CA",1059477130243756034,A special meal for our special visitors #eatingforhealth #eattolive #eatgoodfood #healthyeating #healthyliving #castironcooking #brusselssprouts #perfectlycooked #scallops &amp;… https://www.instagram.com/liveg2g/p/BpzgRBzHyHj/?utm_source=ig_twitter_share&amp;igshid=uvl6gmsd5k3j,2018-11-05 16:06:46+00:00,#eatingforhealth #eattolive #eatgoodfood #healthyeating #healthyliving #castironcooking #brusselssprouts #perfectlycooked #scallops,liveg2g,,0,0,https://twitter.com/liveg2g/status/1059477130243756034
"Paradise, CA",1059476297485901825,Chico CA Mon Nov 5th AM Forecast: TODAY Mostly Sunny Hi 78 TONIGHT Clear Lo 50,2018-11-05 16:03:28+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1059476297485901825
"Paradise, CA",1059474552487661568," KIMONO @Paradise, California https://www.instagram.com/p/BpzfGQAljiD/?utm_source=ig_twitter_share&amp;igshid=1569j5mjnmz0o",2018-11-05 15:56:32+00:00,,MeghanFabulous,,1,0,https://twitter.com/MeghanFabulous/status/1059474552487661568
"Paradise, CA",1059381124990930944,Fall is upon us! Come join us as we just switched over to winter linens to keep you cozy. The swim spa is a 100 degrees & ready for a dip! @Sonoma Creek Getaway - Sonoma County Serenity… https://www.instagram.com/p/Bpy0nCmnMqZ/?utm_source=ig_twitter_share&amp;igshid=af0g34503trx,2018-11-05 09:45:17+00:00,,sonomacreekca,,0,0,https://twitter.com/sonomacreekca/status/1059381124990930944
"Paradise, CA",1059336349273260032,"Always express your love & appreciation #healthyliving #appreciation #thoughtfortheday #gratitude @Paradise, California https://www.instagram.com/liveg2g/p/BpygP3tHMfg/?utm_source=ig_twitter_share&amp;igshid=10e3x1j3agseu",2018-11-05 06:47:21+00:00,#healthyliving #appreciation #thoughtfortheday #gratitude #gratitude,liveg2g,,0,0,https://twitter.com/liveg2g/status/1059336349273260032
"Paradise, CA",1059249796307976193,Chico CA Sun Nov 4th PM Forecast: TONIGHT Mostly Clear Lo 52 MONDAY Mostly Sunny Hi 78,2018-11-05 01:03:26+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1059249796307976193
"Paradise, CA",1059247448621600768,Can't wait for tonight. See ya in a bit Can't wait for you to join us to share a meal together potluck in the Fireside Room on this Sunday Nov 4th at 530p followed by worship. Bring a… https://www.instagram.com/p/Bpx305BHDEv/?utm_source=ig_twitter_share&amp;igshid=p4vu2032cl26,2018-11-05 00:54:06+00:00,,teamwilkins,,0,0,https://twitter.com/teamwilkins/status/1059247448621600768
"Paradise, CA",1059223676233625601,Happy Sunday sunshine makers! You light up the world with your happy! #happy #life #love #advice #dothis #success #youhavethepower #action #smile #brightwnlives… https://www.instagram.com/trudikrupocki/p/BpxtAyqHkMu/?utm_source=ig_twitter_share&amp;igshid=1t6t8ifz8ica3,2018-11-04 23:19:38+00:00,#happy #life #love #advice #dothis #success #youhavethepower #action #smile #brightwnlives,gratefulcake,,0,0,https://twitter.com/gratefulcake/status/1059223676233625601
"Paradise, CA",1059185291179765760,Drinking a Zappa Wild Stache IPA by @SierraNevada at @sierranevada —,2018-11-04 20:47:06+00:00,,sacbeers,@SierraNevada @SierraNevada,0,0,https://twitter.com/sacbeers/status/1059185291179765760
"Paradise, CA",1059177383666814977,What makes you drink more beer! Really “F”ing hot cheese! @sierranevada @Sierra Nevada Brewery https://www.instagram.com/p/BpxX0DKH04L/?utm_source=ig_twitter_share&amp;igshid=ot5ukwmx9kss,2018-11-04 20:15:41+00:00,,sacbeers,@SierraNevada,0,0,https://twitter.com/sacbeers/status/1059177383666814977
